Player,Team,Age,GP,MP,Min,Screen Assists,Screen Assists PTS,,OFF Loose Balls Recovered,DEF Loose Balls Recovered,Loose Balls Recovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,Charges Drawn,Contested 2PT�Shots,Contested 3PT�Shots,Contested Shots
Tyrese Maxey,PHI,24,52,1960.4,37.7,0.3,0.6,2.6,0.3,0.4,0.7,37.1,62.9,0.02,1.6,1.8,3.4
Josh Hart,NYK,30,77,2895.2,37.6,1.6,3.7,2.8,0.5,0.7,1.1,40.2,59.8,0.03,2,2.9,4.9
Mikal Bridges,NYK,28,82,3075,37.5,0.4,1,1.7,0.4,0.3,0.7,57.6,42.4,0,2.9,2.1,5
Devin Booker,PHX,28,75,2797.5,37.3,0.4,0.9,1.5,0.5,0.3,0.8,58.7,41.3,0.03,1.8,1.5,3.3
Nikola Jokić,DEN,30,70,2569,36.7,4.3,9.9,3.8,0.3,0.3,0.6,53.8,46.2,0,3.3,2.3,5.6
OG Anunoby,NYK,27,74,2708.4,36.6,0.5,1.2,3.3,0.4,0.3,0.7,50.9,49.1,0.04,4.2,3.5,7.7
Kevin Durant,PHX,36,62,2263,36.5,0.4,0.8,1.5,0.1,0.2,0.3,42.9,57.1,0.02,3,3.2,6.2
Jayson Tatum,BOS,27,72,2620.8,36.4,0.4,1.1,2.1,0.3,0.3,0.6,55.6,44.4,0,1.4,1.8,3.2
Anthony Edwards,MIN,23,79,2867.7,36.3,0.2,0.4,2.2,0.3,0.3,0.6,53.1,46.9,0,1.8,1.5,3.3
Damian Lillard,MIL,34,58,2093.8,36.1,0.2,0.3,3,0.3,0.2,0.5,55.6,44.4,0.03,0.8,1.9,2.7
De'Aaron Fox,SAS,27,62,2238.2,36.1,0.3,0.6,3.1,0.3,0.3,0.7,53.7,46.3,0.02,1.5,3,4.5
Jamal Murray,DEN,28,67,2418.7,36.1,0.3,0.8,2.3,0.4,0.3,0.7,51.1,48.9,0.01,3.2,2.5,5.7
Kyrie Irving,DAL,33,50,1805,36.1,0.5,1.1,3.3,0.5,0.4,0.9,55.8,44.2,0.04,1.6,1.5,3.1
Trae Young,ATL,26,75,2707.5,36.1,0.2,0.5,2,0.3,0.3,0.6,52.1,47.9,0.07,0.4,1.1,1.5
DeMar DeRozan,SAC,35,77,2764.3,35.9,0.2,0.5,1.7,0.2,0.3,0.4,44.1,55.9,0.05,1.5,1.9,3.4
Jalen Johnson,ATL,23,36,1285.2,35.7,0.9,2.2,2.7,0.3,0.3,0.6,42.9,57.1,0,3.2,2.3,5.5
Jalen Brunson,NYK,28,65,2301,35.4,0.3,0.6,1.4,0.3,0.3,0.7,51.1,48.9,0.31,1.2,2.1,3.3
Luka Dončić,LAL,26,50,1770,35.4,0.2,0.5,3.4,0.2,0.4,0.5,29.6,70.4,0.08,2,2.8,4.8
Tyler Herro,MIA,25,77,2725.8,35.4,0.3,0.7,1.6,0.3,0.3,0.7,47.1,52.9,0,1.9,1.4,3.3
James Harden,LAC,35,79,2788.7,35.3,0.1,0.1,2.6,0.3,0.4,0.8,45.2,54.8,0.03,1.2,1.8,3
Fred VanVleet,HOU,31,60,2112,35.2,0.8,1.7,3,0.3,0.5,0.8,41.3,58.7,0.02,1.1,1.6,2.7
Zach LaVine,SAC,30,74,2604.8,35.2,0.5,1.1,1.4,0.2,0.2,0.5,47.1,52.9,0.01,1.6,3.1,4.7
Cade Cunningham,DET,23,70,2450,35,0.3,0.8,2.1,0.3,0.4,0.7,46,54,0.03,3,2.7,5.7
Karl-Anthony Towns,NYK,29,72,2520,35,2.5,5.6,2.1,0.3,0.3,0.7,51.1,48.9,0,5.5,1.8,7.3
Trey Murphy III,NOP,24,53,1855,35,0.4,1,2.4,0.3,0.3,0.6,53.3,46.7,0,3,2.4,5.4
Austin Reaves,LAL,27,73,2547.7,34.9,0.7,1.6,1.9,0.4,0.3,0.7,51,49,0.3,2.5,2.1,4.6
LeBron James,LAL,40,70,2443,34.9,0.8,2,1.9,0.4,0.3,0.7,55.3,44.7,0.13,1.8,2,3.8
Domantas Sabonis,SAC,29,70,2429,34.7,6,13.4,1.8,0.4,0.3,0.7,57.1,42.9,0,5.6,1.7,7.3
Kelly Oubre Jr.,PHI,29,60,2076,34.6,0.2,0.6,4.2,0.3,0.5,0.8,37,63,0.03,1.9,2.5,4.4
Paolo Banchero,ORL,22,46,1582.4,34.4,0.7,1.6,1.3,0.3,0.2,0.5,64,36,0.02,3,2.9,5.9
Bam Adebayo,MIA,27,78,2675.4,34.3,3.4,8.2,3.1,0.3,0.3,0.7,50,50,0,4,1.7,5.7
Jaylen Brown,BOS,28,63,2160.9,34.3,0.3,0.8,1.8,0.5,0.3,0.8,57.7,42.3,0.05,1.9,2.4,4.3
Keegan Murray,SAC,24,76,2606.8,34.3,0.5,1.2,1.4,0.2,0.4,0.6,37.2,62.8,0.16,4.3,3.1,7.4
Brandon Miller,CHA,22,27,923.4,34.2,1.3,3.1,2.3,0.1,0.3,0.5,30.8,69.2,0.07,2.4,2.6,5
Giannis Antetokounmpo,MIL,30,67,2291.4,34.2,2.2,5.2,1.6,0.5,0.2,0.7,72.7,27.3,0,2.9,2.4,5.3
Shai Gilgeous-Alexander,OKC,26,76,2599.2,34.2,0.3,0.6,2.8,0.4,0.5,0.9,45.8,54.2,0.01,2.9,2.5,5.4
Christian Braun,DEN,24,79,2678.1,33.9,0.8,2,1.8,0.3,0.3,0.7,45.1,54.9,0.05,2.6,2.2,4.8
Derrick White,BOS,30,76,2576.4,33.9,0.4,0.9,2.1,0.4,0.4,0.8,46.6,53.4,0.12,4.1,2.8,6.9
Dyson Daniels,ATL,22,76,2568.8,33.8,0.4,1,5.9,0.5,0.6,1,43,57,0,3.2,2.9,6.1
Franz Wagner,ORL,23,60,2022,33.7,0.3,0.8,2.2,0.2,0.4,0.7,35,65,0.08,2.4,1.9,4.3
Michael Porter Jr.,DEN,26,77,2594.9,33.7,0.7,1.5,1.3,0.2,0.2,0.4,47.1,52.9,0,2,1.6,3.6
Tyrese Haliburton,IND,25,72,2419.2,33.6,0.4,1,2.9,0.3,0.4,0.7,44,56,0,1.6,1.9,3.5
Anthony Davis,DAL,32,51,1703.4,33.4,3.1,7.3,2.1,0.5,0.4,0.9,54.5,45.5,0.04,6.2,3.4,9.6
Coby White,CHI,25,73,2423.6,33.2,0.3,0.8,1.3,0.3,0.4,0.6,40.9,59.1,0.04,2,1.9,3.9
Rudy Gobert,MIN,32,72,2390.4,33.2,4.8,12.1,1.8,0.3,0.1,0.3,80,20,0.01,7.7,2.2,9.9
Victor Wembanyama,SAS,21,46,1527.2,33.2,1.4,3.2,3.4,0.3,0.4,0.7,45.2,54.8,0.17,8.1,2.6,10.7
Brandon Ingram,TOR,27,18,595.8,33.1,0.2,0.6,1.1,0.4,0.1,0.5,77.8,22.2,0,2.2,1.4,3.6
Bilal Coulibaly,WAS,20,59,1947,33,0.5,1.1,2.6,0.4,0.5,0.9,48.1,51.9,0.02,2.4,2,4.4
Jalen Green,HOU,23,82,2697.8,32.9,0.1,0.2,1.2,0.2,0.2,0.4,53.1,46.9,0.01,2.6,1.6,4.2
Ivica Zubac,LAC,28,80,2624,32.8,3.4,7.9,1.1,0.1,0.3,0.4,34.3,65.7,0,7.7,2.3,10
Scottie Barnes,TOR,23,65,2132,32.8,0.8,1.8,2.3,0.4,0.3,0.8,54.9,45.1,0,3.3,2,5.3
Anfernee Simons,POR,26,70,2289,32.7,0.1,0.2,1.2,0.2,0.3,0.5,35.1,64.9,0.04,1.4,1.6,3
CJ McCollum,NOP,33,56,1831.2,32.7,0.2,0.5,1.5,0.3,0.4,0.7,45.9,54.1,0.04,1.7,2.1,3.8
Dejounte Murray,NOP,28,31,1013.7,32.7,0.2,0.6,3.5,0.1,0.4,0.5,25,75,0,1.6,1.8,3.4
Pascal Siakam,IND,31,78,2550.6,32.7,1,2.4,2,0.5,0.3,0.8,58.5,41.5,0,3.5,2.8,6.3
Toumani Camara,POR,25,78,2550.6,32.7,1.2,3,2.7,0.4,0.3,0.7,53.4,46.6,0.4,3.1,1.9,5
Julius Randle,MIN,30,68,2216.8,32.6,1.7,4.4,1.5,0.6,0.3,0.9,70,30,0,3.1,2.2,5.3
Norman Powell,LAC,32,60,1956,32.6,0.1,0.3,2,0.2,0.2,0.4,53.8,46.2,0,1.2,1.6,2.8
Paul George,PHI,35,41,1332.5,32.5,0.2,0.6,3.9,0.5,0.7,1.2,41.2,58.8,0.05,3,2.6,5.6
Herbert Jones,NOP,26,20,648,32.4,0.9,2.2,4.5,0.2,0.3,0.5,44.4,55.6,0.2,2.4,3,5.4
Jalen Williams,OKC,24,69,2235.6,32.4,0.2,0.4,3.5,0.4,0.5,0.9,40.3,59.7,0.06,2.8,1.5,4.3
Jerami Grant,POR,31,47,1522.8,32.4,0.2,0.5,2.3,0.2,0.3,0.6,42.3,57.7,0.06,2.3,1.8,4.1
Amen Thompson,HOU,22,69,2228.7,32.3,0.4,0.9,2.9,0.4,0.4,0.8,46.3,53.7,0.04,3.3,1.4,4.7
Jimmy Butler III,GSW,35,54,1738.8,32.2,1.1,2.6,3,0.5,0.3,0.9,59.6,40.4,0.02,1.8,1.6,3.4
P.J. Washington,DAL,26,57,1835.4,32.2,0.5,1.2,2.1,0.3,0.3,0.7,47.4,52.6,0,3.7,2.1,5.8
RJ Barrett,TOR,24,58,1867.6,32.2,0.4,0.9,2.4,0.4,0.2,0.6,61.8,38.2,0.05,2.5,2.3,4.8
Stephen Curry,GSW,37,70,2254,32.2,0.7,1.6,2.3,0.4,0.4,0.7,50,50,0.09,1.5,1.8,3.3
Bradley Beal,PHX,31,53,1701.3,32.1,0.3,0.5,2.4,0.4,0.3,0.7,55.6,44.4,0.06,2.2,2.5,4.7
Desmond Bane,MEM,26,69,2208,32,0.2,0.4,1.8,0.4,0.4,0.7,50,50,0,2.1,1.9,4
LaMelo Ball,CHA,23,47,1504,32,0.4,0.9,2.9,0.4,0.4,0.8,50,50,0,1.1,1.2,2.3
Alperen Sengun,HOU,22,75,2392.5,31.9,3.3,8,2.4,0.6,0.2,0.8,76.3,23.7,0.09,6.5,2.5,9
Jaden McDaniels,MIN,24,82,2615.8,31.9,0.4,1,2.7,0.4,0.3,0.7,60,40,0.01,3.5,2.4,5.9
Kawhi Leonard,LAC,33,37,1180.3,31.9,0.2,0.4,3.1,0.3,0.5,0.8,41.4,58.6,0,1.5,2,3.5
Brook Lopez,MIL,37,80,2544,31.8,2.7,6.3,1.5,0.1,0.1,0.2,44.4,55.6,0,11.3,2.3,13.6
Dillon Brooks,HOU,29,75,2385,31.8,0.7,1.5,1.9,0.1,0.2,0.3,42.9,57.1,0.05,2,1.7,3.7
Miles Bridges,CHA,27,64,2028.8,31.7,0.6,1.3,1.4,0.3,0.2,0.5,56.3,43.8,0.03,3.6,2.7,6.3
Rui Hachimura,LAL,27,59,1870.3,31.7,0.5,1.2,1.7,0.2,0.2,0.4,50,50,0.02,2.9,2,4.9
Cameron Johnson,BKN,29,57,1801.2,31.6,0.5,1.1,1.8,0.3,0.3,0.6,52.9,47.1,0.05,2,2.2,4.2
Donovan Mitchell,CLE,28,70,2212,31.6,0.2,0.4,2.4,0.4,0.4,0.8,50.9,49.1,0.04,1.1,1.6,2.7
Malik Monk,SAC,27,65,2054,31.6,0.5,1.1,1.7,0.3,0.3,0.7,52.4,47.6,0.03,1.8,2.1,3.9
Tobias Harris,DET,32,73,2306.8,31.6,0.9,2.2,1.6,0.2,0.3,0.5,43.2,56.8,0,2.6,2.3,4.9
Keyonte George,UTA,21,67,2110.5,31.5,0.4,0.9,1.2,0.2,0.3,0.5,40.6,59.4,0.07,1.1,1.7,2.8
Lauri Markkanen,UTA,28,47,1475.8,31.4,1.2,3.1,1.6,0.4,0.1,0.5,76,24,0,3.4,1.7,5.1
Shaedon Sharpe,POR,22,72,2253.6,31.3,0.1,0.3,1.2,0.2,0.3,0.5,44.4,55.6,0.03,1.3,1.7,3
Nikola Vu?evi?,CHI,34,73,2277.6,31.2,3,6.6,1.6,0.1,0.2,0.3,45.8,54.2,0,5.6,2.8,8.4
Cam Thomas,BKN,23,24,746.4,31.1,0.3,0.7,0.9,0.3,0.2,0.5,58.3,41.7,0,2.2,1.7,3.9
Devin Vassell,SAS,24,64,1984,31,0.1,0.2,2.3,0.3,0.4,0.6,43.9,56.1,0,1.9,1.4,3.3
Darius Garland,CLE,25,74,2286.6,30.9,0.2,0.5,1.9,0.3,0.2,0.5,64.1,35.9,0.04,1.2,1.3,2.5
Andrew Wiggins,MIA,30,60,1842,30.7,0.3,0.7,1.5,0.3,0.3,0.6,55.6,44.4,0,3.2,3.3,6.5
Jrue Holiday,BOS,34,62,1897.2,30.6,0.7,1.7,2.1,0.3,0.4,0.7,47.8,52.2,0.02,1.6,1.9,3.5
Evan Mobley,CLE,23,71,2165.5,30.5,2.3,5.5,1.7,0.5,0.3,0.8,61.4,38.6,0,7.2,3.3,10.5
John Collins,UTA,27,40,1220,30.5,1.5,3.8,1.6,0.5,0.2,0.7,66.7,33.3,0.05,3,2.5,5.5
Ja Morant,MEM,25,50,1520,30.4,0.1,0.2,2.3,0.2,0.4,0.6,37.9,62.1,0.1,1,1,2
Ayo Dosunmu,CHI,25,46,1393.8,30.3,0.3,0.8,1.5,0.3,0.4,0.7,41.9,58.1,0,2.4,1.8,4.2
Josh Giddey,CHI,22,69,2090.7,30.3,0.4,0.9,2.2,0.4,0.3,0.8,54.7,45.3,0,2.6,2.7,5.3
Jaren Jackson Jr.,MEM,25,73,2204.6,30.2,0.7,1.6,2.8,0.4,0.4,0.8,49.2,50.8,0,5.8,2.3,8.1
Joel Embiid,PHI,31,19,573.8,30.2,2.6,6.4,1.5,0.5,0.2,0.6,75,25,0,5.2,2.8,8
Myles Turner,IND,29,72,2174.4,30.2,2.8,6.7,1.4,0.1,0.2,0.3,45.8,54.2,0,6.8,1.9,8.7
Deandre Ayton,POR,26,40,1204,30.1,4.1,9.5,1.4,0.4,0,0.4,93.8,6.3,0,5.2,2.6,7.8
Jabari Smith Jr.,HOU,22,57,1715.7,30.1,0.6,1.4,1.3,0.3,0.2,0.5,55.6,44.4,0,3.4,1.9,5.3
Kyle Kuzma,MIL,29,64,1926.4,30.1,0.2,0.5,0.9,0.1,0.1,0.2,40,60,0.14,2.6,2.1,4.7
Bub Carrington,WAS,19,81,2430,30,0.3,0.8,1.3,0.2,0.3,0.5,43.6,56.4,0.02,1.7,1.7,3.4
Deni Avdija,POR,24,72,2160,30,0.3,0.6,1.7,0.4,0.3,0.6,57.8,42.2,0,3.4,2,5.4
Walker Kessler,UTA,23,58,1740,30,2.9,6.9,1.6,0.5,0.2,0.7,75,25,0,9.1,3.8,12.9
Bennedict Mathurin,IND,22,72,2152.8,29.9,0.2,0.4,1.3,0.3,0.3,0.7,46.8,53.2,0,1.4,1.7,3.1
Grant Williams,CHA,26,16,478.4,29.9,2.4,6.3,1.6,0.3,0.4,0.7,36.4,63.6,0.31,5.1,2.6,7.7
Jaden Ivey,DET,23,30,897,29.9,0.4,0.9,1.6,0.7,0.2,0.9,77.8,22.2,0,1.8,1.5,3.3
Jordan Poole,WAS,25,66,1966.8,29.8,0.5,1.1,1.7,0.3,0.3,0.6,47.5,52.5,0,0.9,2,2.9
Kentavious Caldwell-Pope,ORL,32,76,2257.2,29.7,0.6,1.3,2.1,0.2,0.4,0.6,38.6,61.4,0.04,1.3,1,2.3
Jakob Poeltl,TOR,29,57,1687.2,29.6,3.9,8.6,2.7,0.3,0.3,0.6,51.4,48.6,0.02,6.6,2.4,9
Gradey Dick,TOR,21,54,1587.6,29.4,0.3,0.7,2,0.3,0.3,0.6,48.5,51.5,0.11,0.8,1.1,1.9
Draymond Green,GSW,35,68,1985.6,29.2,1.8,4.8,2.6,0.3,0.3,0.7,48.9,51.1,0.21,5.5,3.6,9.1
Luguentz Dort,OKC,26,71,2073.2,29.2,0.8,1.7,2.3,0.3,0.4,0.7,40.8,59.2,0.08,1.4,2.1,3.5
Andrew Nembhard,IND,25,65,1878.5,28.9,0.3,0.7,2,0.2,0.3,0.5,37.5,62.5,0.09,1.9,1.5,3.4
Dorian Finney-Smith,LAL,32,63,1820.7,28.9,1,2.5,1.6,0.2,0.3,0.4,39.3,60.7,0.02,2.9,1.6,4.5
Kristaps Porziņģis,BOS,29,42,1209.6,28.8,2,4.9,1.6,0.2,0.3,0.5,45,55,0,7.5,3.1,10.6
Jalen Suggs,ORL,24,35,1001,28.6,0.3,0.7,3,0.3,0.5,0.8,33.3,66.7,0.17,2,1.3,3.3
Payton Pritchard,BOS,27,79,2259.4,28.6,0.3,0.8,1.4,0.4,0.3,0.8,55,45,0.03,1,0.8,1.8
Zion Williamson,NOP,24,30,858,28.6,0.9,2,2.6,0.7,0.4,1.1,65.6,34.4,0,1.7,2.5,4.2
Aaron Gordon,DEN,29,51,1448.4,28.4,0.8,1.8,0.9,0.2,0.2,0.4,55,45,0,2.3,1,3.3
Jared McCain,PHI,21,20,566,28.3,0.1,0.3,1.4,0.3,0.3,0.6,54.5,45.5,0,1.1,1.4,2.5
Jarrett Allen,CLE,27,81,2292.3,28.3,3.9,9,1.8,0.3,0.3,0.6,52.1,47.9,0.01,7.6,1.9,9.5
Drew Timme,BKN,24,9,253.8,28.2,1.2,3,1.2,0.1,0.2,0.3,33.3,66.7,0.22,3.4,2.4,5.8
Tim Hardaway Jr.,DET,33,76,2143.2,28.2,0.9,2,0.8,0.2,0.2,0.4,43.8,56.3,0.24,1.5,1.8,3.3
Davion Mitchell,MIA,26,71,1995.1,28.1,0.3,0.8,1.9,0.2,0.4,0.6,32.5,67.5,0.14,0.8,1.6,2.4
Dennis Schr�der,DET,31,75,2107.5,28.1,0.2,0.5,1.8,0.3,0.4,0.7,48.1,51.9,0.11,1.4,1.4,2.8
Max Christie,DAL,22,75,2107.5,28.1,0.5,1,1.2,0.1,0.2,0.3,28.6,71.4,0,3.5,1.8,5.3
AJ Johnson,WAS,20,22,616,28,0.1,0.2,1.1,0.2,0.2,0.4,44.4,55.6,0,2,1.6,3.6
Chris Paul,SAS,40,82,2296,28,0.6,1.4,2.4,0.2,0.6,0.8,28.1,71.9,0,0.5,1.1,1.6
Naji Marshall,DAL,27,68,1904,28,0.3,0.8,1.8,0.3,0.3,0.6,47.6,52.4,0.01,1.9,1.6,3.5
P.J. Tucker,NYK,40,2,56,28,1.5,4.5,1.5,0,0,0,0,0,0,1.5,3,4.5
Collin Sexton,UTA,26,62,1729.8,27.9,0.5,1.3,1.6,0.2,0.3,0.5,46.7,53.3,0,0.8,0.9,1.7
Isaiah Hartenstein,OKC,27,57,1590.3,27.9,4.3,9.6,2.3,0.3,0.3,0.5,46.7,53.3,0,6,2.5,8.5
Malik Beasley,DET,28,80,2232,27.9,0.3,0.7,1.6,0.1,0.2,0.3,43.5,56.5,0,0.9,1.2,2.1
Onyeka Okongwu,ATL,24,74,2064.6,27.9,2.4,5.7,1.9,0.3,0.3,0.6,50,50,0,5.2,1.8,7
Russell Westbrook,DEN,36,75,2092.5,27.9,0.3,0.8,2.5,0.3,0.3,0.7,46.9,53.1,0.04,1.1,1.2,2.3
Immanuel Quickley,TOR,25,32,889.6,27.8,0.3,0.8,1.5,0,0.3,0.3,9.1,90.9,0,1.5,1.6,3.1
Josh Green,CHA,24,68,1890.4,27.8,0.6,1.3,1.9,0.3,0.3,0.6,45.2,54.8,0,1.6,1.3,2.9
Spencer Dinwiddie,DAL,32,76,2105.2,27.7,0.4,0.9,1.2,0.2,0.2,0.4,44.8,55.2,0,1.5,1.6,3.1
Al Horford,BOS,39,60,1656,27.6,1.6,4.2,1.3,0.2,0.1,0.3,60,40,0,4,3.1,7.1
Cason Wallace,OKC,21,68,1876.8,27.6,0.8,1.8,3.6,0.4,0.5,0.9,46.8,53.2,0,1.8,2.9,4.7
Caleb Martin,DAL,29,44,1210,27.5,0.5,1.1,1.9,0.3,0.4,0.6,42.9,57.1,0.09,1.9,1.6,3.5
Naz Reid,MIN,25,80,2200,27.5,1.1,2.7,1.6,0.2,0.3,0.5,40.5,59.5,0.05,3.7,2.5,6.2
Chet Holmgren,OKC,23,32,876.8,27.4,1.5,3.3,0.9,0.2,0.4,0.6,33.3,66.7,0,7.4,2.7,10.1
Harrison Barnes,SAS,33,81,2211.3,27.3,0.6,1.4,1,0.2,0.2,0.4,54.3,45.7,0.01,2.1,1.9,4
Klay Thompson,DAL,35,72,1965.6,27.3,0.4,0.9,1.2,0.1,0.3,0.4,34.5,65.5,0,1.7,1.3,3
Brandin Podziemski,GSW,22,63,1713.6,27.2,0.6,1.5,2.1,0.3,0.4,0.7,37.8,62.2,0.32,1.4,1.3,2.7
De'Andre Hunter,CLE,27,64,1740.8,27.2,0.4,1,1.4,0.2,0.3,0.5,44.8,55.2,0,1.7,2.3,4
Ochai Agbaji,TOR,25,64,1740.8,27.2,0.4,0.9,2.1,0.2,0.2,0.4,42.3,57.7,0,3,2.3,5.3
Alex Sarr,WAS,20,67,1815.7,27.1,3.9,9,1.5,0.3,0.3,0.6,55.3,44.7,0,6.9,2.3,9.2
Guerschon Yabusele,PHI,29,70,1897,27.1,2.4,5.7,1.9,0.2,0.3,0.5,36.8,63.2,0.11,2.5,1.2,3.7
Killian Hayes,BKN,23,6,162.6,27.1,0.2,0.3,2.2,0.2,0.2,0.3,50,50,0.33,3,1.3,4.3
Taurean Prince,MIL,31,80,2168,27.1,0.1,0.3,2,0.1,0.1,0.3,47.8,52.2,0.05,1.2,1.2,2.4
Nic Claxton,BKN,26,70,1883,26.9,3,7,1.7,0.2,0.2,0.4,56.7,43.3,0.03,5,2.1,7.1
Quentin Grimes,PHI,25,74,1990.6,26.9,0.2,0.5,1.7,0.3,0.4,0.7,40.7,59.3,0.03,1.6,1.6,3.2
Stephon Castle,SAS,20,80,2152,26.9,0.3,0.8,1.8,0.4,0.3,0.7,53.7,46.3,0,2.1,1.8,3.9
Justin Edwards,PHI,21,43,1152.4,26.8,0.3,0.6,2.3,0.3,0.2,0.5,52.4,47.6,0.02,1.6,1.5,3.1
Keion Brooks Jr.,NOP,24,12,321.6,26.8,0.2,0.4,1.6,0.1,0.3,0.3,25,75,0,2.7,1.8,4.5
Tyus Jones,PHX,29,79,2117.2,26.8,0.4,0.8,1.5,0.2,0.1,0.4,60,40,0,0.6,1.3,1.9
Yves Missi,NOP,21,73,1956.4,26.8,3.5,7.9,1.1,0.4,0.2,0.6,65.9,34.1,0,5.8,2.6,8.4
Scoot Henderson,POR,21,66,1762.2,26.7,0.1,0.3,2.7,0.4,0.3,0.8,58,42,0,1.1,1.6,2.7
Terry Rozier,MIA,31,60,1602,26.7,0.3,0.8,1.1,0.4,0.2,0.6,61.1,38.9,0.03,1,1.8,2.8
Mark Williams,CHA,23,44,1170.4,26.6,3,7,1.4,0.4,0.2,0.6,63,37,0,5.9,4,9.9
Kyshawn George,WAS,21,68,1802,26.5,0.3,0.7,2.1,0.3,0.4,0.7,38.3,61.7,0.01,3.7,3.1,6.8
Corey Kispert,WAS,26,60,1584,26.4,0.5,1.2,1,0.2,0.2,0.4,56,44,0,1.8,1.5,3.3
Isaiah Collier,UTA,20,69,1814.7,26.3,0.4,0.9,1.6,0.2,0.3,0.5,31.4,68.6,0.06,0.9,1.9,2.8
Lonnie Walker IV,PHI,26,18,471.6,26.2,0.1,0.2,1.2,0.1,0.2,0.3,33.3,66.7,0,1.3,1.8,3.1
Jalen Duren,DET,21,78,2035.8,26.1,3.6,8.5,1.4,0.1,0.2,0.4,42.9,57.1,0,5.8,2.2,8
Jaylen Wells,MEM,21,77,2009.7,26.1,0.2,0.4,0.9,0.3,0.2,0.5,57.1,42.9,0.05,1.9,1.6,3.5
Jordan Clarkson,UTA,33,37,962,26,0.5,1.3,1.4,0.5,0.2,0.7,75,25,0,1,1.2,2.2
Donte DiVincenzo,MIN,28,62,1605.8,25.9,0.3,1,2.5,0.2,0.4,0.6,33.3,66.7,0.03,1.3,1.4,2.7
Wendell Carter Jr.,ORL,26,68,1761.2,25.9,2.2,4.9,1.3,0.3,0.2,0.5,59.4,40.6,0.03,4.2,1.8,6
Gary Trent Jr.,MIL,26,73,1868.8,25.6,0.1,0.3,2.2,0.1,0.2,0.3,36.8,63.2,0,0.5,1,1.5
Jalen Wilson,BKN,24,77,1971.2,25.6,0.3,0.7,0.8,0.2,0.2,0.4,48.5,51.5,0,1.5,1.4,2.9
D'Angelo Russell,BKN,29,57,1453.5,25.5,0.5,1,2.2,0.1,0.2,0.3,47.1,52.9,0.02,1.3,1.5,2.8
Max Strus,CLE,29,50,1275,25.5,0.7,1.7,0.9,0.4,0.3,0.7,61.8,38.2,0.08,1.7,1.6,3.3
Santi Aldama,MEM,24,65,1657.5,25.5,0.3,0.7,1.3,0.2,0.2,0.5,48.3,51.7,0.02,2.9,1.9,4.8
Bobby Portis,MIL,30,49,1244.6,25.4,1.4,3.4,1.6,0.2,0.2,0.4,55,45,0,3.7,2.6,6.3
Nickeil Alexander-Walker,MIN,26,81,2057.4,25.4,0.3,0.7,2.1,0.1,0.4,0.5,27.5,72.5,0.04,1.6,0.6,2.2
Jeremy Sochan,SAS,22,54,1366.2,25.3,2,4.6,1.6,0.2,0.3,0.5,44.8,55.2,0,3.4,1.9,5.3
