Player,Team,Age,GP,MP,Min,Screen Assists,Screen Assists PTS,,OFF Loose Balls Recovered,DEF Loose Balls Recovered,Loose Balls Recovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,Charges Drawn,Contested 2PT�Shots,Contested 3PT�Shots,Contested Shots
Nick Richards,PHX,27,57,1254,22,3.3,7.6,0.7,0.2,0.2,0.4,56.5,43.5,0.05,5.6,1.8,7.3
Tristan da Silva,ORL,24,74,1628,22,0.3,0.7,1,0.3,0.1,0.4,71.4,28.6,0,2.1,1.2,3.3
Ja'Kobe Walter,TOR,20,50,1095,21.9,0.4,0.8,1.8,0.2,0.3,0.5,42.3,57.7,0.08,1,1.6,2.6
Sam Hauser,BOS,27,70,1533,21.9,0.4,1.1,1.4,0.2,0.2,0.4,58.6,41.4,0.01,2.1,1.1,3.2
Isaiah Joe,OKC,25,74,1605.8,21.7,0.5,1,1.4,0.2,0.4,0.5,30.8,69.2,0.23,1.1,1.4,2.6
Zach Edey,MEM,23,65,1410.5,21.7,2.4,5.3,0.7,0.4,0.2,0.6,65,35,0,5.8,1.9,7.7
Georges Niang,ATL,31,78,1684.8,21.6,1,2.4,0.9,0.2,0.1,0.4,60.7,39.3,0.04,1.6,1.3,2.8
Tyson Etienne,BKN,25,7,151.2,21.6,0,0,1.7,0,0.1,0.1,0,100,0,0.4,1,1.4
Daniel Gafford,DAL,26,57,1225.5,21.5,2.6,5.9,1.4,0.4,0.2,0.6,68.8,31.3,0.02,6.3,2,8.3
Dean Wade,CLE,28,58,1247,21.5,0.8,1.9,1.8,0.2,0.2,0.4,40.9,59.1,0,3.2,1.1,4.3
Clint Capela,ATL,31,55,1177,21.4,2.2,5.1,1.1,0.4,0.1,0.5,72.4,27.6,0.16,4.3,1.6,6
Kyle Filipowski,UTA,21,71,1519.4,21.4,1.4,3.2,1.5,0.3,0.1,0.4,74.1,25.9,0.01,3.3,1.9,5.2
Vasilije Micić,PHX,31,29,620.6,21.4,0.2,0.7,0.9,0.1,0.3,0.4,27.3,72.7,0.03,0.5,0.5,0.9
Cody Williams,UTA,20,49,1043.7,21.3,0.5,1.3,1,0.1,0.1,0.2,58.3,41.7,0,1.9,1.6,3.5
Julian Strawther,DEN,23,65,1384.5,21.3,0.4,1,1.3,0.1,0.3,0.3,26.1,73.9,0,2,1.6,3.6
Scotty Pippen Jr.,MEM,24,79,1682.7,21.3,0.1,0.4,2.7,0.3,0.4,0.7,43.6,56.4,0.06,0.9,1.3,2.2
Elfrid Payton,NOP,31,23,487.6,21.2,0.2,0.6,1.8,0.1,0.1,0.2,50,50,0,1.2,0.7,1.9
Gabe Vincent,LAL,28,72,1526.4,21.2,0.3,0.6,1.4,0.2,0.3,0.4,40,60,0.17,1.7,1.2,2.9
Trendon Watford,BKN,24,43,911.6,21.2,0.3,0.9,1.5,0.3,0.2,0.5,59.1,40.9,0.07,2,1.8,3.8
Terance Mann,ATL,28,67,1413.7,21.1,0.5,1.2,1.7,0.1,0.2,0.3,36.8,63.2,0,1.4,1.2,2.6
Jaime Jaquez Jr.,MIA,24,65,1365,21,0.3,0.6,1.7,0.2,0.3,0.6,40.5,59.5,0,1.8,1.4,3.1
